MATCH #,TEAM 1,TEAM 2,GROUP,Event Id,Event Name,Event Date,Venue,Section,Sold Quantity,Sold Proceeds,Sold Cost,Margin,P & L,UNIT.P&L,Unsold Quantity,Unsold Cost,UNIT LIST PRICE,Unit Cost
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 2,4,"$4,167.19 ","$1,340.00 ",0.678440387,"$2,827.19 ",$706.80 ,0,$0.00 ,$0.00 ,$335.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,4,"$5,153.08 ","$1,780.00 ",0.654575516,"$3,373.08 ",$843.27 ,0,$0.00 ,$0.00 ,$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 3,4,"$2,622.49 ",$620.00 ,0.763583464,"$2,002.49 ",$500.62 ,0,$0.00 ,$0.00 ,$155.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,780.00 ","$1,916.27 ",$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,4,"$5,054.00 ","$1,780.00 ",0.647803719,"$3,274.00 ",$818.50 ,0,$0.00 ,$0.00 ,$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 3,4,"$3,821.88 ",$620.00 ,0.837776172,"$3,201.88 ",$800.47 ,0,$0.00 ,$0.00 ,$155.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 3,4,"$2,193.76 ",$620.00 ,0.717380205,"$1,573.76 ",$393.44 ,0,$0.00 ,$0.00 ,$155.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 2,4,"$5,394.59 ","$1,440.00 ",0.733065904,"$3,954.59 ",$988.65 ,0,$0.00 ,$0.00 ,$360.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,4,"$5,231.90 ","$1,780.00 ",0.65977943,"$3,451.90 ",$862.98 ,0,$0.00 ,$0.00 ,$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,0,,$0.00 ,0,$0.00 ,$0.00 ,4,"$1,780.00 ","$1,782.51 ",$445.00 
29,Brazil,Haiti,Group C,153022742,Brazil vs Haiti - World Cup - Group C (Match 29),6/19/2026 9:00:00 PM +00:00,Lincoln Financial Field,Category 1,4,"$4,460.06 ","$1,780.00 ",0.60090223,"$2,680.06 ",$670.02 ,0,$0.00 ,$0.00 ,$445.00 
31,TBD,Paraguay,Group D,153022742,TBD vs Paraguay - World Cup - Group D (Match 31),6/19/2026 9:00:00 PM +00:00,Levi's Stadium,Category 2,4,"$1,723.68 ","$1,860.00 ",-0.079086605,($136.32),($34.08),0,$0.00 ,$0.00 ,$465.00 
